company_names,company_code,p/e_ratio
ICICI Lombard,ICICIGI.NS,46.7
Sify,SIFY,46.7
ACC,ACC.NS,46.8
Kitex Garments,KITEX.NS,46.9
L&T Technology Services,LTTS.NS,47.1
KFin Technologies,KFINTECH.NS,47.1
Blue Dart Express,BLUEDART.NS,47.3
The Tinplate Company Of India,TINPLATE.NS,47.6
Ambuja Cements,AMBUJACEM.NS,47.6
Sheela Foam,SFL.NS,48.0
IndiaMART,INDIAMART.NS,48.3
Bharat Electronics,BEL.NS,48.3
Polycab India,POLYCAB.NS,48.4
Greenlam Industries,GREENLAM.NS,48.5
Anup Engineering,ANUP.NS,48.5
Trident,TRIDENT.NS,48.8
Kajaria Ceramics,KAJARIACER.NS,48.9
Prestige Group,PRESTIGE.NS,49.1
UltraTech Cement,ULTRACEMCO.NS,49.1
Endurance Technologies,ENDURANCE.NS,49.3
Container Corporation of India,CONCOR.NS,49.3
Alkem Laboratories,ALKEM.NS,49.7
KCP Limited,KCP.NS,49.9
Coforge,COFORGE.NS,50.0
Kokuyo Camlin,KOKUYOCMLN.NS,50.1
Vaibhav Global,VAIBHAVGBL.NS,50.3
BASF India,BASF.NS,50.4
Mishra Dhatu Nigam,MIDHANI.NS,50.4
Dabur,DABUR.NS,50.5
Happiest Minds Technologies,HAPPSTMNDS.NS,50.8
Hindustan Unilever,HINDUNILVR.NS,50.8
ESAB India,ESABINDIA.NS,51.0
Elgi Equipments,ELGIEQUIP.NS,51.3
Marico,MARICO.NS,51.3
Carborundum Universal,CARBORUNIV.NS,51.9
JTEKT India,JTEKTINDIA.NS,52.0
Force Motors,FORCEMOT.NS,52.5
Bajaj Electricals,BAJAJELEC.NS,53.3
Tata Communications,TATACOMM.NS,53.5
Anant Raj,ANANTRAJ.NS,53.8
Schaeffler India,SCHAEFFLER.NS,54.0
Prince Pipes And Fittings,PRINCEPIPE.NS,54.1
Asian Paints,ASIANPAINT.NS,54.3
Abbott India,ABBOTINDIA.NS,54.7
Vedant Fashions,MANYAVAR.NS,54.8
EaseMyTrip,EASEMYTRIP.NS,55.3
Ingersoll Rand India,INGERRAND.NS,55.3
Patanjali Foods,PATANJALI.NS,55.4
Fortis Healthcare,FORTIS.NS,55.6
Aarti Industries,AARTIIND.NS,56.2
Bata India,BATAINDIA.NS,56.3
JSW Energy,JSWENERGY.NS,56.5
BLS International,BLS.NS,57.3
BOSCH India,BOSCHLTD.NS,57.7
CRISIL,CRISIL.NS,57.7
Orient Electric,ORIENTELEC.NS,57.9
Supreme Industries,SUPREMEIND.NS,57.9
Syngene International,SYNGENE.NS,58.2
Shree Cement,SHREECEM.NS,58.2
APL Apollo,APLAPOLLO.NS,58.3
Timken India,TIMKEN.NS,58.6
Cummins India,CUMMINSIND.NS,59.3
UNO Minda,UNOMINDA.NS,59.6
Symphony Limited,SYMPHONY.NS,59.7
Campus Activewear,CAMPUS.NS,60.1
Mankind Pharma,MANKIND.NS,60.2
Wendt India,WENDT.NS,60.5
Berger Paints,BERGEPAINT.NS,60.5
CDSL,CDSL.NS,60.8
Colgate-Palmolive India,COLPAL.NS,60.9
Bodal Chemicals,BODALCHEM.NS,60.9
SML Isuzu,SMLISUZU.NS,61.4
JSW Holdings,JSWHL.NS,61.6
Tata Elxsi,TATAELXSI.NS,61.6
Grindwell Norton,GRINDWELL.NS,61.6
Blue Star,BLUESTARCO.NS,61.8
United Spirits,UNITDSPR.BO,62.1
Phoenix Mills,PHOENIXLTD.NS,62.2
BSE,BSE.NS,62.6
Dr Lal PathLabs,LALPATHLAB.NS,62.9
Vidhi Specialty Food,VIDHIING.NS,64.2
Torrent Pharmaceuticals,TORNTPHARM.NS,64.3
N.B.I. Industrial Finance,NBIFIN.NS,65.1
Skipper Limited,SKIPPER.NS,65.2
Divis Laboratories,DIVISLAB.NS,66.1
Tube Investments of India,TIINDIA.NS,66.5
Laurus Labs,LAURUSLABS.NS,66.6
3M India,3MINDIA.NS,66.8
Indian Overseas Bank,IOB.NS,66.9
Ramco Cements,RAMCOCEM.NS,67.0
Hathway,HATHWAY.NS,67.2
TVS Motor,TVSMOTOR.NS,67.6
Ipca Laboratories,IPCALAB.NS,67.6
VIP Industries,VIPIND.NS,68.1
Procter & Gamble India,PGHH.NS,69.2
CG Power and Industrial Solutions,CGPOWER.NS,69.3
ZF Commercial Vehicle Control Systems India,ZFCVINDIA.NS,69.5
V-Guard Industries,VGUARD.NS,69.5
Infibeam Avenues,INFIBEAM.NS,69.6
NBCC India,NBCC.NS,69.7
Himatsingka Seide,HIMATSEIDE.NS,70.0
Max Healthcare Institute,MAXHEALTH.NS,70.4
Max Financial Services,MFSL.NS,70.6
Godrej,GODREJCP.NS,71.2
KSB ltd,KSB.NS,72.3
Subros,SUBROS.NS,72.6
Lupin Limited,LUPIN.NS,74.0
Jindal Worldwide,JINDWORLD.NS,76.7
Aether Industries,AETHER.NS,76.9
Nelco,NELCO.NS,77.4
Biocon,BIOCON.NS,77.8
Dollar Industries,DOLLAR.NS,77.9
Amber Enterprises India,AMBER.NS,78.1
Page Industries,PAGEIND.NS,78.5
Syrma SGS Technology,SYRMA.NS,78.6
Texmaco Rail & Engineering,TEXRAIL.NS,78.7
Havells India,HAVELLS.NS,79.0
MapmyIndia,MAPMYINDIA.NS,79.1
SBI Life Insurance,SBILIFE.NS,80.7
Indian Railway Catering & Tourism,IRCTC.NS,81.3
KPIT Technologies,KPITTECH.NS,81.9
Yes Bank,YESBANK.NS,82.4
Tata Consumer Products,TATACONSUM.NS,82.5
Indian Hotels Company,INDHOTEL.NS,83.7
India Tourism Development Corp,ITDC.NS,84.0
eMudhra,EMUDHRA.NS,84.8
EIH Limited,EIHOTEL.NS,84.8
Whirlpool India,WHIRLPOOL.NS,85.4
Ethos Watches,ETHOSLTD.NS,85.8
BEML,BEML.NS,86.2
JK Cement,JKCEMENT.NS,86.2
Honeywell Automation India,HONAUT.NS,86.9
Nazara Technologies,NAZARA.NS,89.0
Action Construction Equipment,ACE.NS,89.1
Bharat Dynamics,BDL.NS,90.1
Graphite India,GRAPHITE.NS,90.5
Bharti Airtel,BHARTIARTL.NS,91.2
Chalet Hotels,CHALET.NS,91.2
Bharat Forge,BHARATFORG.NS,91.8
HDFC Life,HDFCLIFE.NS,92.0
Apollo Pipes,APOLLOPIPE.NS,92.5
Adani Energy Solutions,ADANIENSOL.NS,94.3
Siemens India,SIEMENS.NS,95.8
Hatsun Agro Products,HATSUN.NS,95.9
Solar Industries India,SOLARINDS.NS,96.3
