company_names,company_code,earnings
Adani Wilmar,AWL.NS,$78.09 M
Spandana Sphoorty Financial,SPANDANA.NS,$77.75 M
Tamil Nadu Newsprint and Papers Limited,TNPL.NS,$76.99 M
Honeywell Automation India,HONAUT.NS,$76.52 M
Welspun India,WELSPUNIND.NS,$76.18 M
Alembic Pharmaceuticals,APLLTD.NS,$75.56 M
Aavas Financiers,AAVAS.NS,$72.65 M
Fine Organics,FINEORG.NS,$72.18 M
Ashoka Buildcon,ASHOKA.NS,$71.53 M
Elgi Equipments,ELGIEQUIP.NS,$70.96 M
Kajaria Ceramics,KAJARIACER.NS,$69.77 M
Linde India,LINDEINDIA.NS,$69.73 M
Kirloskar Ferrous Industries,KIRLFER.NS,$69.72 M
Voltas,VOLTAS.NS,$69.61 M
Crompton Greaves Consumer Electricals,CROMPTON.NS,$69.6 M
Hindustan Construction Company,HCC.NS,$68.75 M
Engineers India,ENGINERSIN.NS,$68.56 M
Asahi India Glass,ASAHIINDIA.NS,$67.75 M
Shriram Pistons & Rings,SHRIPISTON.NS,$66.84 M
ZF Commercial Vehicle Control Systems India,ZFCVINDIA.NS,$66.52 M
Indian Metals & Ferro Alloys,IMFA.NS,$66.29 M
Vedant Fashions,MANYAVAR.NS,$66.05 M
Surya Roshni,SURYAROSNI.NS,$65.9 M
Dixon Technologies,DIXON.NS,$65.38 M
ReNew Power,RNW,$64.93 M
Granules India,GRANULES.NS,$64.76 M
Max Financial Services,MFSL.NS,$64.33 M
Grindwell Norton,GRINDWELL.NS,$64 M
Huhtamaki India,HUHTAMAKI.NS,$63.86 M
Chalet Hotels,CHALET.NS,$62.9 M
NBCC India,NBCC.NS,$61.94 M
Rashtriya Chemicals and Fertilizers,RCF.NS,$61.55 M
Dr Lal PathLabs,LALPATHLAB.NS,$60.55 M
Repco Home Finance,REPCOHOME.NS,$60.3 M
Atul,ATUL.NS,$60.25 M
Time Technoplast,TIMETECHNO.NS,$58.86 M
CenturyPly,CENTURYPLY.NS,$58.75 M
Piramal Pharma,PPLPHARMA.NS,$57.89 M
Sudarshan Chemical,SUDARSCHEM.NS,$57.78 M
"Sumitomo Chemical
India",SUMICHEM.NS,$57.58 M
Puravankara,PURVA.NS,$57.57 M
HEG,HEG.NS,$57.5 M
Timken India,TIMKEN.NS,$57.48 M
Bata India,BATAINDIA.NS,$56.86 M
CDSL,CDSL.NS,$56.74 M
United Breweries,UBL.NS,$55.01 M
Sterlite Technologies,STLTECH.NS,$54.83 M
Indian Energy Exchange,IEX.NS,$54.82 M
Craftsman Automation,CRAFTSMAN.NS,$53.53 M
Varroc,VARROC.NS,$53.23 M
Ramkrishna Forgings,RKFORGE.NS,$52.91 M
Arvind,ARVIND.NS,$52.56 M
