company_names,company_code,operating_margin
India Glycols,INDIAGLYCO.NS,5.77%
APL Apollo,APLAPOLLO.NS,5.74%
Life Insurance Corporation of India (LIC),LICI.NS,5.72%
National Fertilizers,NFL.NS,5.69%
NACL Industries,NACLIND.NS,5.63%
United Breweries,UBL.NS,5.56%
Himatsingka Seide,HIMATSEIDE.NS,5.49%
JTEKT India,JTEKTINDIA.NS,5.47%
Confidence Petroleum,CONFIPET.NS,5.46%
Hyderabad Industries Limited,HIL.NS,5.45%
Prince Pipes And Fittings,PRINCEPIPE.NS,5.41%
NBCC India,NBCC.NS,5.38%
Bajaj Electricals,BAJAJELEC.NS,5.35%
Welspun India,WELSPUNIND.NS,5.33%
Vaibhav Global,VAIBHAVGBL.NS,5.31%
Kingfa Science & Technology,KINGFA.NS,5.26%
Bharat Petroleum,BPCL.NS,5.25%
BASF India,BASF.NS,5.24%
GAIL,GAIL.NS,5.23%
InterGlobe Aviation,INDIGO.NS,5.19%
Prakash Industries,PRAKASH.NS,5.16%
Somany Ceramics,SOMANYCERA.NS,5.09%
Filatex India,FILATEX.NS,5.08%
Sterlite Technologies,STLTECH.NS,5.04%
Mangalam Cement,MANGLMCEM.NS,5.03%
Rico Auto Industries,RICOAUTO.NS,5.00%
PTC India,PTC.NS,4.88%
Hathway,HATHWAY.NS,4.86%
Bodal Chemicals,BODALCHEM.NS,4.83%
Lodha Group,LODHA.NS,4.82%
Sudarshan Chemical,SUDARSCHEM.NS,4.79%
Samvardhana Motherson,MOTHERSON.NS,4.72%
Zee Entertainment,ZEEL.NS,4.68%
JSW Steel,JSWSTEEL.NS,4.67%
Schneider Electric Infrastructure,SCHNEIDER.NS,4.66%
Nilkamal,NILKAMAL.NS,4.57%
Apollo Pipes,APOLLOPIPE.NS,4.55%
Whirlpool India,WHIRLPOOL.NS,4.55%
Milkfood Limited,MLKFOOD.BO,4.55%
Tata Motors,TATAMOTORS.NS,4.43%
JBM Auto,JBMA.NS,4.39%
Amber Enterprises India,AMBER.NS,4.31%
TCNS Clothing,TCNSBRANDS.NS,4.30%
Rane Holdings,RANEHOLDIN.NS,4.30%
KEC International,KEC.NS,4.04%
Kokuyo Camlin,KOKUYOCMLN.NS,3.98%
3i Infotech,3IINFOLTD.NS,3.98%
PDS Multinational,PDSL.NS,3.94%
KIOCL,KIOCL.NS,3.73%
Parag Milk Foods,PARAGMILK.NS,3.67%
Jubilant Pharmova,JUBLPHARMA.NS,3.62%
Voltas,VOLTAS.NS,3.58%
Hatsun Agro Products,HATSUN.NS,3.56%
Sandhar,SANDHAR.NS,3.47%
Dixon Technologies,DIXON.NS,3.43%
Radio City,RADIOCITY.NS,3.14%
Huhtamaki India,HUHTAMAKI.NS,3.12%
New India Assurance,NIACL.NS,3.08%
Hindustan Petroleum,HINDPETRO.NS,3.05%
Quick Heal,QUICKHEAL.NS,2.88%
Steel Authority of India,SAIL.NS,2.80%
Mangalore Chemicals and Fertilizers,MANGCHEFER.NS,2.76%
Adani Wilmar,AWL.NS,2.68%
Redington India,REDINGTON.NS,2.65%
Nectar Lifesciences,NECLIFE.NS,2.63%
Jay Bharat Maruti,JAYBARMARU.NS,2.57%
MakeMyTrip,MMYT,2.56%
Subros,SUBROS.NS,2.48%
CEAT,CEATLTD.NS,2.30%
Skipper Limited,SKIPPER.NS,2.21%
Shankara Building,SHANKARA.NS,2.20%
Nykaa,NYKAA.NS,2.19%
SBI Life Insurance,SBILIFE.NS,2.18%
Quess,QUESS.NS,2.05%
Wheels India,WHEELS.NS,2.00%
Indorama Synthetics,INDORAMA.NS,1.90%
HDFC Life,HDFCLIFE.NS,1.77%
Indian Oil,IOC.NS,1.76%
Prime Focus,PFOCUS.NS,1.74%
Mahindra Logistics,MAHLOG.NS,1.67%
Max Financial Services,MFSL.NS,1.51%
ICICI Prulife,ICICIPRULI.NS,1.28%
Gati,GATI.NS,1.06%
