company_names,company_code,market_cap
ReNew Power,RNW,$2.10 B
Redington India,REDINGTON.NS,$2.08 B
Natco Pharma,NATCOPHARM.NS,$2.05 B
NCC Limited,NCC.NS,$1.99 B
IIFL Finance,IIFL.NS,$1.99 B
RITES,RITES.NS,$1.96 B
BASF India,BASF.NS,$1.96 B
Finolex Industries,FINPIPE.NS,$1.91 B
Tata Teleservices,TTML.NS,$1.89 B
RBL Bank,RBLBANK.NS,$1.88 B
Welspun India,WELSPUNIND.NS,$1.86 B
Karur Vysya Bank,KARURVYSYA.NS,$1.85 B
IndiaMART,INDIAMART.NS,$1.84 B
Finolex Cables,FINCABLES.NS,$1.83 B
KSB ltd,KSB.NS,$1.83 B
Chambal Fertilisers,CHAMBLFERT.NS,$1.83 B
Olectra Greentech,OLECTRA.NS,$1.82 B
V-Guard Industries,VGUARD.NS,$1.82 B
DCM Shriram,DCMSHRIRAM.NS,$1.80 B
Asahi India Glass,ASAHIINDIA.NS,$1.75 B
PVR Cinemas,PVR.NS,$1.73 B
Zee Entertainment,ZEEL.NS,$1.73 B
BEML,BEML.NS,$1.73 B
Mahanagar Gas,MGL.NS,$1.72 B
CenturyPly,CENTURYPLY.NS,$1.71 B
Alok Industries,ALOKINDS.NS,$1.69 B
Blue Dart Express,BLUEDART.NS,$1.67 B
BLS International,BLS.NS,$1.67 B
SPARC,SPARC.NS,$1.67 B
Zensar,ZENSARTECH.NS,$1.66 B
Tejas Networks,TEJASNET.NS,$1.64 B
Chennai Petroleum,CHENNPETRO.NS,$1.61 B
Jindal Stainless (Hisar),JSLHISAR.NS,$1.61 B
Fine Organics,FINEORG.NS,$1.61 B
HBL Power Systems,HBLPOWER.NS,$1.60 B
Indian Energy Exchange,IEX.NS,$1.60 B
Graphite India,GRAPHITE.NS,$1.59 B
TANLA,TANLA.NS,$1.59 B
Gujarat Mineral Development,GMDCLTD.NS,$1.56 B
Raymond,RAYMOND.NS,$1.54 B
Engineers India,ENGINERSIN.NS,$1.50 B
Aavas Financiers,AAVAS.NS,$1.49 B
Ramkrishna Forgings,RKFORGE.NS,$1.49 B
Amber Enterprises India,AMBER.NS,$1.49 B
Happiest Minds Technologies,HAPPSTMNDS.NS,$1.46 B
eClerx Services,ECLERX.NS,$1.43 B
sterling & wilson solar,SWSOLAR.NS,$1.43 B
Anant Raj,ANANTRAJ.NS,$1.41 B
City Union Bank,CUB.NS,$1.41 B
Electrosteel Castings,ELECTCAST.NS,$1.40 B
Force Motors,FORCEMOT.NS,$1.40 B
MMTC,MMTC.NS,$1.38 B
Bajaj Electricals,BAJAJELEC.NS,$1.37 B
Ingersoll Rand India,INGERRAND.NS,$1.37 B
Reliance Power,RPOWER.NS,$1.36 B
Aether Industries,AETHER.NS,$1.34 B
East India Distilleries Parry,EIDPARRY.NS,$1.33 B
Bombay Burmah,BBTC.NS,$1.33 B
Indiabulls Housing Finance,IBULHSGFIN.NS,$1.31 B
KFin Technologies,KFINTECH.NS,$1.30 B
Sheela Foam,SFL.NS,$1.27 B
CEAT,CEATLTD.NS,$1.27 B
Godawari Power & Ispat,GPIL.NS,$1.27 B
PCBL Limited,PCBL.NS,$1.26 B
Amara Raja Batteries,AMARAJABAT.NS,$1.24 B
Granules India,GRANULES.NS,$1.24 B
