company_names,company_code,Dividend
Nerolac Paints,KANSAINER.NS,0.68%
Indiabulls Housing Finance,IBULHSGFIN.NS,0.67%
Finolex Industries,FINPIPE.NS,0.67%
Indoco Remedies,INDOCO.NS,0.67%
Federal Bank,FEDERALBNK.NS,0.67%
Exide Industries,EXIDEIND.NS,0.66%
Kirloskar Ferrous Industries,KIRLFER.NS,0.66%
Huhtamaki India,HUHTAMAKI.NS,0.65%
Apar Industries,APARINDS.NS,0.65%
Jay Bharat Maruti,JAYBARMARU.NS,0.65%
Rain Industries,RAIN.NS,0.63%
Polyplex,POLYPLEX.NS,0.63%
ICICI Lombard,ICICIGI.NS,0.63%
Sterling Tools,STERTOOLS.NS,0.62%
RBL Bank,RBLBANK.NS,0.62%
Zydus Lifesciences,ZYDUSLIFE.NS,0.61%
Biocon,BIOCON.NS,0.61%
Time Technoplast,TIMETECHNO.NS,0.60%
Godawari Power & Ispat,GPIL.NS,0.60%
Kewal Kiran Clothing,KKCL.NS,0.59%
Cipla,CIPLA.NS,0.59%
Suprajit Engineering,SUPRAJIT.NS,0.58%
Hester Biosciences,HESTERBIO.NS,0.58%
Dollar Industries,DOLLAR.NS,0.58%
Coromandel,COROMANDEL.NS,0.57%
Samvardhana Motherson,MOTHERSON.NS,0.57%
Oberoi Realty,OBEROIRLTY.NS,0.56%
Hindalco Industries,HINDALCO.NS,0.56%
Hatsun Agro Products,HATSUN.NS,0.55%
Punjab National Bank,PNB.NS,0.54%
BSE,BSE.NS,0.54%
Blue Dart Express,BLUEDART.NS,0.54%
Abbott India,ABBOTINDIA.NS,0.53%
Laurus Labs,LAURUSLABS.NS,0.52%
Quick Heal,QUICKHEAL.NS,0.52%
Jindal Stainless,JSL.NS,0.52%
Foseco India,FOSECOIND.NS,0.52%
Persistent Systems,PERSISTENT.NS,0.51%
Tata Power,TATAPOWER.NS,0.51%
Rico Auto Industries,RICOAUTO.NS,0.51%
Sandhar,SANDHAR.NS,0.51%
