company_names,company_code,market_cap
Religare,RELIGARE.NS,$0.86 B
Rashtriya Chemicals and Fertilizers,RCF.NS,$0.86 B
Knr Constructions,KNRCON.NS,$0.85 B
Strides Pharma,STAR.NS,$0.85 B
Allcargo Logistics,ALLCARGO.NS,$0.85 B
FDC India,FDC.NS,$0.83 B
Vesuvius India,VESUVIUS.NS,$0.83 B
Mishra Dhatu Nigam,MIDHANI.NS,$0.83 B
Campus Activewear,CAMPUS.NS,$0.82 B
Borosil,BORORENEW.NS,$0.81 B
eMudhra,EMUDHRA.NS,$0.80 B
Jindal Worldwide,JINDWORLD.NS,$0.79 B
South Indian Bank,SOUTHBANK.NS,$0.78 B
VIP Industries,VIPIND.NS,$0.78 B
Marksans Pharma,MARKSANS.NS,$0.77 B
Tata Coffee,TATACOFFEE.NS,$0.77 B
Ethos Watches,ETHOSLTD.NS,$0.77 B
Transport Corporation of India,TCI.NS,$0.75 B
PDS Multinational,PDSL.NS,$0.75 B
Vaibhav Global,VAIBHAVGBL.NS,$0.74 B
Texmaco Rail & Engineering,TEXRAIL.NS,$0.74 B
Prince Pipes And Fittings,PRINCEPIPE.NS,$0.74 B
Greenlam Industries,GREENLAM.NS,$0.74 B
MSTC Limited,MSTCLTD.NS,$0.72 B
Symphony Limited,SYMPHONY.NS,$0.71 B
Sunteck Realty,SUNTECK.NS,$0.70 B
CSB Bank,CSBBANK.NS,$0.70 B
Spandana Sphoorty Financial,SPANDANA.NS,$0.69 B
Edelweiss Financial Services,EDELWEISS.NS,$0.69 B
MOIL,MOIL.NS,$0.69 B
Suprajit Engineering,SUPRAJIT.NS,$0.67 B
Surya Roshni,SURYAROSNI.NS,$0.66 B
Paisalo Digital,PAISALO.NS,$0.66 B
PTC India,PTC.NS,$0.65 B
IFB Industries,IFBIND.NS,$0.65 B
India Tourism Development Corp,ITDC.NS,$0.64 B
Rain Industries,RAIN.NS,$0.64 B
Hindustan Construction Company,HCC.NS,$0.64 B
Nazara Technologies,NAZARA.NS,$0.63 B
Astra Microwave,ASTRAMICRO.NS,$0.63 B
Gateway Distriparks,GATEWAY.NS,$0.61 B
Puravankara,PURVA.NS,$0.61 B
Wonderla Holidays,WONDERLA.NS,$0.61 B
Gujarat Alkalies and Chemicals,GUJALKALI.NS,$0.61 B
Time Technoplast,TIMETECHNO.NS,$0.59 B
VRL Logistics,VRLLOG.NS,$0.59 B
Gabriel India,GABRIEL.NS,$0.57 B
RattanIndia Power,RTNPOWER.NS,$0.57 B
Sterlite Technologies,STLTECH.NS,$0.56 B
Gulf Oil Lubricants,GULFOILLUB.NS,$0.55 B
Ashoka Buildcon,ASHOKA.NS,$0.55 B
VA Tech Wabag,WABAG.NS,$0.54 B
Gokaldas Exports,GOKEX.NS,$0.54 B
The Tinplate Company Of India,TINPLATE.NS,$0.53 B
Heidelbergcement India,HEIDELBERG.NS,$0.53 B
National Fertilizers,NFL.NS,$0.52 B
Jaypee Group,JPASSOCIAT.NS,$0.51 B
Kewal Kiran Clothing,KKCL.NS,$0.51 B
Sudarshan Chemical,SUDARSCHEM.NS,$0.51 B
Sundaram Finance,SUNDARMHLD.NS,$0.51 B
Orient Electric,ORIENTELEC.NS,$0.50 B
Aarti Drugs,AARTIDRUGS.NS,$0.50 B
Orient Cement,ORIENTCEM.NS,$0.50 B
JTEKT India,JTEKTINDIA.NS,$0.47 B
Black Box,BBOX.NS,$0.47 B
West Coast Paper Mills,WSTCSTPAPR.NS,$0.47 B
Greenpanel Industries,GREENPANEL.NS,$0.46 B
Kalyani Steels,KSL.NS,$0.46 B
Tata Steel Long Products,TATASTLLP.NS,$0.44 B
Imagicaaworld Entertainment,IMAGICAA.NS,$0.44 B
Hinduja Global Solutions,HGS.NS,$0.44 B
